managed_charging_user_canceled,charge_port_latch,battery_range,managed_charging_active,charge_current_request_max,charger_voltage,charge_limit_soc_max,charge_miles_added_rated,charge_to_max_range,charge_limit_soc_std,scheduled_charging_start_time,charge_enable_request,charging_state,charger_phases,timestamp,not_enough_power_to_heat,ideal_battery_range,managed_charging_start_time,charge_energy_added,charge_rate,fast_charger_type,usable_battery_level,scheduled_charging_pending,charge_current_request,time_to_full_charge,charge_miles_added_ideal,battery_heater_on,charger_pilot_current,charger_power,conn_charge_cable,trip_charging,fast_charger_brand,charger_actual_current,charge_port_door_open,max_range_charge_counter,battery_level,user_charge_enable_request,charge_limit_soc_min,charge_limit_soc,fast_charger_present,est_battery_range
False,Engaged,145.9,False,30,194,100,25.0,False,90,,True,Charging,1,1536171707782,,145.9,,5.9,22.2,<invalid>,47,False,30,5.5,25.0,False,30,6,SAE,False,<invalid>,30,True,0,47,,50,86,False,0.0
False,Engaged,179.66,False,30,194,100,59.0,False,90,,True,Charging,1,1536177317444,,179.66,,13.8,22.1,<invalid>,58,False,30,3.92,59.0,False,30,6,SAE,False,<invalid>,30,True,0,58,,50,86,False,0.0
False,Engaged,184.79,False,30,192,100,65.0,False,90,,True,Charging,1,1536178222952,,184.79,,15.2,22.1,<invalid>,60,False,30,3.75,65.0,False,30,6,SAE,False,<invalid>,30,True,0,60,,50,86,False,0.0
False,Engaged,190.77,False,30,193,100,70.0,False,90,,True,Charging,1,1536179128138,,190.77,,16.4,22.1,<invalid>,62,False,30,3.42,70.0,False,30,6,SAE,False,<invalid>,30,True,0,62,,50,86,False,0.0
False,Engaged,195.9,False,30,195,100,75.0,False,90,,True,Charging,1,1536180033535,,195.9,,17.6,22.1,<invalid>,63,False,30,3.17,75.0,False,30,6,SAE,False,<invalid>,30,True,0,63,,50,86,False,0.0
False,Engaged,201.45,False,30,194,100,81.0,False,90,,True,Charging,1,1536180940099,,201.45,,18.9,22.1,<invalid>,65,False,30,3.0,81.0,False,30,6,SAE,False,<invalid>,30,True,0,65,,50,86,False,0.0
False,Engaged,206.58,False,30,195,100,87.0,False,90,,True,Charging,1,1536181846116,,206.58,,20.3,22.1,<invalid>,67,False,30,2.67,87.0,False,30,6,SAE,False,<invalid>,30,True,0,67,,50,86,False,0.0
False,Engaged,212.56,False,30,195,100,92.0,False,90,,True,Charging,1,1536182752006,,212.56,,21.5,22.1,<invalid>,69,False,30,2.42,92.0,False,30,6,SAE,False,<invalid>,30,True,0,69,,50,86,False,0.0
False,Engaged,218.12,False,30,195,100,98.0,False,90,,True,Charging,1,1536183657560,,218.12,,22.9,22.1,<invalid>,70,False,30,2.17,98.0,False,30,6,SAE,False,<invalid>,30,True,0,70,,50,86,False,0.0
False,Engaged,220.68,False,30,195,100,100.0,False,90,,True,Charging,1,1536184080615,,220.68,,23.4,22.1,<invalid>,71,False,30,2.08,100.0,False,30,6,SAE,False,<invalid>,30,True,0,71,,50,86,False,0.0
False,Engaged,221.11,False,30,195,100,101.5,False,90,,True,Charging,1,1536184206106,,221.11,,23.7,22.1,<invalid>,71,False,30,2.08,101.5,False,30,6,SAE,False,<invalid>,30,True,0,71,,50,86,False,0.0
False,Engaged,221.54,False,30,195,100,101.0,False,90,,True,Charging,1,1536184235831,,221.54,,23.6,22.1,<invalid>,71,False,30,2.0,101.0,False,30,6,SAE,False,<invalid>,30,True,0,72,,50,86,False,0.0
False,Engaged,225.81,False,30,196,100,106.0,False,90,,True,Charging,1,1536184985326,,225.81,,24.8,22.1,<invalid>,73,False,30,1.83,106.0,False,30,6,SAE,False,<invalid>,30,True,0,73,,50,86,False,0.0
False,Engaged,227.09,False,30,195,100,106.5,False,90,,True,Charging,1,1536185143652,,227.09,,24.9,22.1,<invalid>,73,False,30,1.75,106.5,False,30,6,SAE,False,<invalid>,30,True,0,73,,50,86,False,0.0
False,Engaged,231.79,False,30,195,100,111.0,False,90,,True,Charging,1,1536185890290,,231.79,,26.0,22.1,<invalid>,75,False,30,1.58,111.0,False,30,6,SAE,False,<invalid>,30,True,0,75,,50,86,False,0.0
False,Engaged,232.65,False,30,195,100,112.5,False,90,,True,Charging,1,1536186049359,,232.65,,26.3,22.1,<invalid>,75,False,30,1.5,112.5,False,30,6,SAE,False,<invalid>,30,True,0,75,,50,86,False,0.0
False,Engaged,237.35,False,30,196,100,116.5,False,90,,True,Charging,1,1536186795044,,237.35,,27.3,22.1,<invalid>,77,False,30,1.33,116.5,False,30,6,SAE,False,<invalid>,30,True,0,77,,50,86,False,0.0
False,Engaged,238.21,False,30,195,100,117.5,False,90,,True,Charging,1,1536186954975,,238.21,,27.5,22.1,<invalid>,77,False,30,1.25,117.5,False,30,6,SAE,False,<invalid>,30,True,0,77,,50,86,False,0.0
False,Engaged,242.48,False,30,197,100,122.0,False,90,,True,Charging,1,1536187699876,,242.48,,28.6,22.1,<invalid>,78,False,30,1.08,122.0,False,30,6,SAE,False,<invalid>,30,True,0,78,,50,86,False,0.0
False,Engaged,243.76,False,30,197,100,123.0,False,90,,True,Charging,1,1536187823371,,243.76,,28.8,22.1,<invalid>,79,False,30,1.0,123.0,False,30,6,SAE,False,<invalid>,30,True,0,79,,50,86,False,0.0
False,Engaged,243.76,False,30,197,100,123.0,False,90,,True,Charging,1,1536187831053,,243.76,,28.8,22.1,<invalid>,79,False,30,1.0,123.0,False,30,6,SAE,False,<invalid>,30,True,0,79,,50,86,False,0.0
False,Engaged,244.19,False,48,2,100,123.5,False,90,,True,Disconnected,,1536188016792,,244.19,,28.9,0.0,<invalid>,79,False,48,0.0,123.5,False,48,0,<invalid>,False,<invalid>,0,False,0,79,,50,86,False,0.0
False,Engaged,242.48,False,48,2,100,123.5,False,90,,True,Disconnected,,1536188203002,,242.48,,28.9,0.0,<invalid>,78,False,48,0.0,123.5,False,48,0,<invalid>,False,<invalid>,0,False,0,78,,50,86,False,0.0
False,Engaged,242.48,False,48,2,100,123.5,False,90,,True,Disconnected,,1536188389615,,242.48,,28.9,0.0,<invalid>,78,False,48,0.0,123.5,False,48,0,<invalid>,False,<invalid>,0,False,0,78,,50,86,False,0.0
False,Engaged,241.62,False,48,2,100,123.5,False,90,,True,Disconnected,,1536188575296,,241.62,,28.9,0.0,<invalid>,78,False,48,0.0,123.5,False,48,0,<invalid>,False,<invalid>,0,False,0,78,,50,86,False,0.0
False,Engaged,239.06,False,48,2,100,123.5,False,90,,True,Disconnected,,1536188761428,,239.06,,28.9,0.0,<invalid>,77,False,48,0.0,123.5,False,48,0,<invalid>,False,<invalid>,0,False,0,77,,50,86,False,0.0
