inside_temp,seat_heater_rear_right_back,fan_status,is_preconditioning,seat_heater_left,seat_heater_rear_right,is_front_defroster_on,min_avail_temp,is_rear_defroster_on,battery_heater,max_avail_temp,passenger_temp_setting,side_mirror_heaters,battery_heater_no_power,right_temp_direction,driver_temp_setting,seat_heater_right,left_temp_direction,timestamp,seat_heater_rear_center,wiper_blade_heater,is_auto_conditioning_on,seat_heater_rear_left,smart_preconditioning,is_climate_on,seat_heater_rear_left_back,steering_wheel_heater,outside_temp
32.3,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536171708420,False,False,False,False,False,False,0,False,24.0
41.9,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536177318081,False,False,False,False,False,False,0,False,27.5
43.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536178223601,False,False,False,False,False,False,0,False,27.5
38.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536179128782,False,False,False,False,False,False,0,False,28.0
42.8,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536180034176,False,False,False,False,False,False,0,False,28.0
40.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536180940744,False,False,False,False,False,False,0,False,29.5
42.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536181846608,False,False,False,False,False,False,0,False,30.0
41.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536182752648,False,False,False,False,False,False,0,False,30.0
43.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536183658039,False,False,False,False,False,False,0,False,30.5
44.4,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536184081089,False,False,False,False,False,False,0,False,30.0
44.7,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536184206604,False,False,False,False,False,False,0,False,30.0
46.1,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536184236801,False,False,False,False,False,False,0,False,30.0
42.3,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536184985878,False,False,False,False,False,False,0,False,31.0
43.1,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536185144292,False,False,False,False,False,False,0,False,31.0
44.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536185890930,False,False,False,False,False,False,0,False,31.5
44.3,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536186050017,False,False,False,False,False,False,0,False,31.5
41.2,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536186795839,False,False,False,False,False,False,0,False,31.5
41.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536186955614,False,False,False,False,False,False,0,False,31.0
43.4,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536187700514,False,False,False,False,False,False,0,False,32.5
43.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536187824012,False,False,False,False,False,False,0,False,32.5
43.5,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536187831695,False,False,False,False,False,False,0,False,32.5
45.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-261,23.9,False,-261,1536188017434,False,False,True,False,False,True,0,False,31.5
25.9,0,7,False,False,False,False,15.0,False,False,28.0,23.9,False,,-594,23.9,False,-598,1536188204177,False,False,True,False,False,True,0,False,27.5
25.6,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536188390276,False,False,False,False,False,False,0,False,27.5
25.1,0,6,False,False,False,False,15.0,False,False,28.0,23.9,False,,-457,23.9,False,-459,1536188576257,False,False,True,False,False,True,0,False,27.0
24.3,0,4,False,False,False,False,15.0,False,False,28.0,23.9,False,,-352,23.9,False,-346,1536188762084,False,False,True,False,False,True,0,False,25.5
24.0,0,3,False,False,False,False,15.0,False,False,28.0,23.9,False,,-280,23.9,False,-276,1536188948363,False,False,True,False,False,True,0,False,25.0
24.1,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-246,23.9,False,-245,1536189134714,False,False,True,False,False,True,0,False,24.0
24.2,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-224,23.9,False,-220,1536189321218,False,False,True,False,False,True,0,False,24.5
24.1,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-210,23.9,False,-207,1536189507118,False,False,True,False,False,True,0,False,25.0
24.1,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-211,23.9,False,-207,1536189516715,False,False,True,False,False,True,0,False,25.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-136,23.9,False,-115,1536189711613,False,False,True,False,False,True,0,False,25.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-143,23.9,False,-118,1536189901583,False,False,True,False,False,True,0,False,26.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-204,23.9,False,-193,1536190610561,False,False,True,False,False,True,0,False,25.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-210,23.9,False,-218,1536191190791,False,False,True,False,False,True,0,False,25.5
24.1,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-185,23.9,False,-175,1536191323250,False,False,True,False,False,True,0,False,26.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-180,23.9,False,-151,1536191377332,False,False,True,False,False,True,0,False,26.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-153,23.9,False,-124,1536191564631,False,False,True,False,False,True,0,False,26.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-131,23.9,False,-114,1536191751333,False,False,True,False,False,True,0,False,26.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-115,23.9,False,-104,1536191941075,False,False,True,False,False,True,0,False,25.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-115,23.9,False,-105,1536192127565,False,False,True,False,False,True,0,False,26.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-51,23.9,False,-53,1536195831855,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-50,23.9,False,-49,1536196102741,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-35,23.9,False,-41,1536196288663,False,False,True,False,False,True,0,False,23.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-35,23.9,False,-37,1536196475026,False,False,True,False,False,True,0,False,22.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-41,23.9,False,-33,1536196661550,False,False,True,False,False,True,0,False,22.0
24.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536196847876,False,False,False,False,False,False,0,False,22.0
24.0,0,0,False,False,False,False,15.0,False,False,28.0,23.9,False,,0,23.9,False,0,1536196986383,False,False,False,False,False,False,0,False,22.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-72,23.9,False,-44,1536197034810,False,False,True,False,False,True,0,False,22.0
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,-15,23.9,False,-15,1536197221739,False,False,True,False,False,True,0,False,22.5
24.0,0,2,False,False,False,False,15.0,False,False,28.0,23.9,False,,2,23.9,False,-1,1536197407864,False,False,True,False,False,True,0,False,21.5
